Date;Price;Vol.;Change %
12/31/2024;140.04;24.52M;-0.83%
12/30/2024;141.21;16.37M;-0.92%
12/27/2024;142.52;13.45M;0.02%
12/26/2024;142.49;10.48M;-0.41%
12/25/2024;143.08;9.61M;-0.28%
12/24/2024;143.48;14.33M;0.72%
12/23/2024;142.45;14.26M;-0.53%
12/20/2024;143.21;17.28M;-0.24%
12/19/2024;143.55;15.20M;-1.14%
12/18/2024;145.2;12.07M;0.21%
12/17/2024;144.89;15.95M;0.21%
12/16/2024;144.59;26.48M;-2.33%
12/13/2024;148.04;28.42M;-2.49%
12/12/2024;151.82;25.37M;1.62%
12/11/2024;149.4;20.00M;0.20%
12/10/2024;149.1;46.33M;2.29%
12/9/2024;145.76;14.54M;-0.46%
12/6/2024;146.44;18.75M;0.97%
12/5/2024;145.03;10.32M;-0.48%
12/4/2024;145.73;14.84M;-0.86%
12/3/2024;146.99;14.01M;-0.28%
12/2/2024;147.4;17.98M;0.43%
11/29/2024;146.77;28.73M;1.92%
11/28/2024;144;19.05M;-2.07%
11/27/2024;147.05;20.02M;1.55%
11/26/2024;144.8;17.54M;0.70%
11/25/2024;143.8;19.17M;-0.75%
11/22/2024;144.89;18.94M;-3.08%
11/21/2024;149.5;11.45M;-0.07%
11/20/2024;149.6;14.98M;0.77%
11/19/2024;148.45;23.34M;-0.59%
11/18/2024;149.33;20.99M;-1.30%
11/15/2024;151.29;25.54M;-1.43%
11/14/2024;153.49;21.79M;-0.29%
11/13/2024;153.94;19.43M;-0.23%
11/12/2024;154.3;35.13M;-0.34%
11/11/2024;154.82;36.60M;-1.05%
11/8/2024;156.47;56.75M;-3.56%
11/7/2024;162.24;67.19M;7.27%
11/6/2024;151.25;30.21M;-1.01%
11/5/2024;152.8;32.03M;2.83%
11/4/2024;148.6;20.51M;0.46%
11/1/2024;147.92;22.72M;0.74%
10/31/2024;146.83;26.94M;-1.32%
10/30/2024;148.8;21.19M;-1.33%
10/29/2024;150.8;30.32M;-2.06%
10/28/2024;153.97;43.81M;3.96%
10/25/2024;148.11;19.81M;1.13%
10/24/2024;146.46;18.64M;-1.39%
10/23/2024;148.53;35.81M;2.12%
10/22/2024;145.44;30.47M;1.70%
10/21/2024;143.01;29.58M;0.01%
10/18/2024;143;44.14M;3.66%
10/17/2024;137.95;28.25M;-2.61%
10/16/2024;141.65;31.23M;-1.63%
10/15/2024;144;32.97M;-3.85%
10/14/2024;149.76;33.50M;0.07%
10/11/2024;149.65;28.52M;-1.53%
10/10/2024;151.98;60.06M;2.91%
10/9/2024;147.68;81.55M;-9.98%
10/8/2024;164.05;130.68M;0.95%
09/30/2024;162.51;98.62M;10.00%
09/27/2024;147.74;86.46M;10.00%
09/26/2024;134.31;66.45M;10.00%
09/25/2024;122.1;41.72M;1.45%
09/24/2024;120.36;47.35M;7.19%
09/23/2024;112.29;20.37M;1.82%
09/20/2024;110.28;19.67M;-0.56%
09/19/2024;110.9;31.82M;2.98%
09/18/2024;107.69;17.76M;-1.38%
09/13/2024;109.2;31.15M;-3.67%
9/12/2024;113.36;16.98M;-2.28%
9/11/2024;116.01;7.66M;-0.36%
9/10/2024;116.43;10.61M;0.18%
9/9/2024;116.22;11.16M;-1.11%
9/6/2024;117.53;7.77M;-1.69%
9/5/2024;119.55;8.28M;0.37%
9/4/2024;119.11;8.47M;-1.01%
